2019-04-19 11:49:51.317,start_app,,
2019-04-19 11:49:51.318,disconnected,,
2019-04-19 11:49:52.321,disconnected,,
2019-04-19 11:49:53.325,disconnected,,
2019-04-19 11:49:54.328,disconnected,,
2019-04-19 11:49:55.329,disconnected,,
2019-04-19 11:49:56.332,disconnected,,
2019-04-19 11:49:57.336,disconnected,,
2019-04-19 11:49:58.339,disconnected,,
2019-04-19 11:49:59.342,disconnected,,
2019-04-19 11:50:00.346,disconnected,,
2019-04-19 11:50:01.348,disconnected,,
2019-04-19 11:50:02.351,disconnected,,
2019-04-19 11:50:03.354,disconnected,,
2019-04-19 11:50:04.357,disconnected,,
2019-04-19 11:50:05.360,disconnected,,
2019-04-19 11:50:06.362,disconnected,,
2019-04-19 11:50:07.366,disconnected,,
2019-04-19 11:50:08.369,disconnected,,
2019-04-19 12:12:57.179,start_app,,
2019-04-19 12:12:57.180,disconnected,,
2019-04-19 12:12:58.183,disconnected,,
2019-04-19 12:12:59.186,disconnected,,
2019-04-19 12:13:00.190,disconnected,,
2019-04-19 12:13:01.194,disconnected,,
2019-04-19 12:13:02.197,disconnected,,
2019-04-19 12:13:03.200,disconnected,,
2019-04-19 12:13:04.203,disconnected,,
2019-04-19 12:13:05.205,disconnected,,
2019-04-19 12:13:06.207,disconnected,,
2019-04-19 12:13:07.210,disconnected,,
2019-04-19 12:13:08.214,disconnected,,
2019-04-19 12:13:09.218,disconnected,,
2019-04-19 12:13:10.222,disconnected,,
2019-04-19 12:19:13.954,start_app,,
2019-04-19 12:19:13.981,connected,,
